Pitäjä	X	Y
Revonlahti	403180.55379947	7175925.4971243
Riihimäki	378602.73786688	6735675.0136554
Riistavesi	557295.50932476	6978415.1182649
Ristiina	520369.72127486	6817458.6145439
Ristijärvi	570766.94191483	7153258.7947797
Ropsu	657368.69079255	6624882.8194038
Rovaniemi	448350.80920093	7393253.9272338
Ruokolahti	596368.29573041	6804785.1431976
Ruotsinpyhtää	471239.21966814	6711589.7466938
Ruovesi	346297.32186768	6873974.0102495
Ruskeala	694554.55670886	6870959.2188514
Rusko	239823.74956484	6722981.4603191
Rymättylä	209553.33526731	6702727.7730049
Räisälä	654307.49993604	6755534.2723303
Rääkkylä	641344.37742919	6911061.9035979
Rääpyvä	704530.01120946	6660378.3696236
Saari	645346.16096187	6842268.4742876
Saarijärvi	412501.17240628	6955166.1233394
Sahalahti	362343.4852826	6818262.0023813
Sakkola	675645.17826985	6731677.952059
Saloinen	381728.07473296	7162182.9833368
Sammatti	324850.34007945	6692391.7696007
Sauvo	263204.79840462	6695573.0748648
Savitaipale	531717.25655833	6783738.9085716
Savonranta	614917.93004452	6902927.5092499
Savukoski	566328.67094676	7504815.515291501
Seinäjoki	286588.17583218	6965455.9765924
Serepetta	641793.56938062	6625713.3180025
Sievi	381735.08969367	7081624.0041346
Siikainen	231169.83613794	6869565.6711582
Siikajoki	395582.65060431	7187845.098424
Siilinjärvi	536492.01756783	6997102.1403979
Simo	425507.83727893	7303818.365324701
Simpele	625108.80671887	6814708.2246025
Sippola	504064.27322985	6740561.575703
Skuoritsa	665639.67583936	6614697.4858773
Soanlahti	715021.5248522	6894401.5925657
Sodankylä	497562.44448103	7521185.349709999
Soikkola	590368.94412717	6625888.2727843
Soini	359683.1534574	6970460.1019967
Somerniemi	322866.26220796	6719578.5108777
Somero	306138.91679051	6728564.5358422
Sonkajärvi	534490.02280656	7068137.0075647
Sortavala	690139.52399821	6849899.2878782
Sotkamo	572487.88878355	7104410.5848748
Spankkova	659474.49589404	6597021.6318065
Suistamo	737856.04483072	6878885.1955759
Sulkava	576992.52787735	6847228.7943368
Sumiainen	450581.91252129	6951305.5355627
Suodenniemi	274990.06447239	6835881.6624963
Suomenniemi	520959.24448164	6799898.6492137
Suomusjärvi	314846.59673261	6696517.8339204
Suomussalmi	601318.948437	7216322.651831399
Suonenjoki	508400.0953743	6943495.6810979
Suoniemi	300412.58668659	6820346.3602579
Suursaari	500904.34883829	6659291.6853929
Sysmä	433886.11579149	6818960.9771754
Säkkijärvi	565571.28816925	6724350.450837
Säkylä	251293.72089717	6772643.9685866
Särkisalo	272163.61310658	6666353.252855
Säyneinen	578778.74409503	7007186.2128449
Sääksmäki	341701.71962507	6790175.5083904
Sääminki	601657.41432747	6851897.4104016
Taipalsaari	560207.21369522	6789275.1074718
Taivalkoski	563798.29683933	7273229.6180088995
Taivassalo	203943.27521169	6728163.3971962
Tammela	328259.94288421	6743480.8651176
Tampere	324284.66126991	6824235.4216316
Tarvasjoki	267426.33343353	6723783.3509042
Teerijärvi	325935.38905926	7048118.0919499
Teisko	334407.23792715	6845652.8009473
Temmes	447432.95863391	7162432.529046
Terijoki	657688.00038207	6677859.856568
Tervo	489495.98083877	6980134.1839428
Tervola	414289.95478654	7337131.8808578
Teuva	232079.35312487	6940882.4343443
Tohmajärvi	674605.97143492	6908888.2576158
Toholampi	367413.85571087	7069041.6632568
Toivakka	452702.02259972	6887258.690749
Toksova	700164.41238035	6675466.8224249
Tottijärvi	306444.21830418	6810594.5392151
Turku	239833.25439887	6711667.2834126
Turtola	380428.75262821	7410667.630819699
Tuulos	382882.97144743	6777256.5946517
Tuupovaara	693911.75327015	6934447.2438896
Tuusniemi	577217.84500551	6961785.3488643
Tuusula	393615.94172209	6704024.3298363
Tuutari	678488.12602548	6624978.4395573
Tyrnävä	445463.50702382	7179507.6742145
Tyrväntö	356653.81468892	6784645.8019209
Tyrvää	286906.94763429	6804267.8178045
Tyrö	654843.9337922	6640627.3345504
Tytärsaari	513670.61135268	6636928.0875422
Täräntö	297754.42113075	7469969.1381054
Töysä	338753.09502819	6950212.5143649
Ullava	350642.32508761	7062900.2985422
Ulvila	229004.54123513	6822302.0908961
Urjala	312497.80915199	6775874.8438654
Uskela	288461.49198752	6701338.7278707
Utajärvi	492882.17574168	7192461.3269551
Uukuniemi	669237.64539855	6848574.9559341
Uurainen	418489.33433847	6928361.0890493
Uusikirkko Vpl.	625808.2649185	6687650.3173312
Vaala	493432.07468832	7159978.7613045
Vahto	245567.34603797	6732886.2875212
Vahviala	580674.82029654	6739574.8019023
Valkeakoski	341031.81108748	6796063.2638657
